Data;Ano;produto;regiao;preco_medio_revenda
2013-01-01;2013;GASOLINA COMUM;SUDESTE;2,732
2013-02-01;2013;GASOLINA COMUM;SUDESTE;2,846
2013-03-01;2013;GASOLINA COMUM;SUDESTE;2,849
2013-04-01;2013;GASOLINA COMUM;SUDESTE;2,846
2013-05-01;2013;GASOLINA COMUM;SUDESTE;2,834
2013-06-01;2013;GASOLINA COMUM;SUDESTE;2,817
2013-07-01;2013;GASOLINA COMUM;SUDESTE;2,803
2013-08-01;2013;GASOLINA COMUM;SUDESTE;2,795
2013-09-01;2013;GASOLINA COMUM;SUDESTE;2,793
2013-10-01;2013;GASOLINA COMUM;SUDESTE;2,796
2013-11-01;2013;GASOLINA COMUM;SUDESTE;2,799
2013-12-01;2013;GASOLINA COMUM;SUDESTE;2,900
2014-01-01;2014;GASOLINA COMUM;SUDESTE;2,911
2014-02-01;2014;GASOLINA COMUM;SUDESTE;2,911
2014-03-01;2014;GASOLINA COMUM;SUDESTE;2,949
2014-04-01;2014;GASOLINA COMUM;SUDESTE;2,955
2014-05-01;2014;GASOLINA COMUM;SUDESTE;2,947
2014-06-01;2014;GASOLINA COMUM;SUDESTE;2,933
2014-07-01;2014;GASOLINA COMUM;SUDESTE;2,930
2014-08-01;2014;GASOLINA COMUM;SUDESTE;2,929
2014-09-01;2014;GASOLINA COMUM;SUDESTE;2,925
2014-10-01;2014;GASOLINA COMUM;SUDESTE;2,918
2014-11-01;2014;GASOLINA COMUM;SUDESTE;2,961
2014-12-01;2014;GASOLINA COMUM;SUDESTE;2,983
2015-01-01;2015;GASOLINA COMUM;SUDESTE;2,992
2015-02-01;2015;GASOLINA COMUM;SUDESTE;3,239
2015-03-01;2015;GASOLINA COMUM;SUDESTE;3,273
2015-04-01;2015;GASOLINA COMUM;SUDESTE;3,265
2015-05-01;2015;GASOLINA COMUM;SUDESTE;3,251
2015-06-01;2015;GASOLINA COMUM;SUDESTE;3,248
2015-07-01;2015;GASOLINA COMUM;SUDESTE;3,237
2015-08-01;2015;GASOLINA COMUM;SUDESTE;3,229
2015-09-01;2015;GASOLINA COMUM;SUDESTE;3,207
2015-10-01;2015;GASOLINA COMUM;SUDESTE;3,417
2015-11-01;2015;GASOLINA COMUM;SUDESTE;3,536
2015-12-01;2015;GASOLINA COMUM;SUDESTE;3,597
2016-01-01;2016;GASOLINA COMUM;SUDESTE;3,621
2016-02-01;2016;GASOLINA COMUM;SUDESTE;3,648
2016-03-01;2016;GASOLINA COMUM;SUDESTE;3,667
2016-04-01;2016;GASOLINA COMUM;SUDESTE;3,651
2016-05-01;2016;GASOLINA COMUM;SUDESTE;3,599
2016-06-01;2016;GASOLINA COMUM;SUDESTE;3,587
2016-07-01;2016;GASOLINA COMUM;SUDESTE;3,572
2016-08-01;2016;GASOLINA COMUM;SUDESTE;3,586
2016-09-01;2016;GASOLINA COMUM;SUDESTE;3,589
2016-10-01;2016;GASOLINA COMUM;SUDESTE;3,609
2016-11-01;2016;GASOLINA COMUM;SUDESTE;3,638
2016-12-01;2016;GASOLINA COMUM;SUDESTE;3,696
2017-01-01;2017;GASOLINA COMUM;SUDESTE;3,754
2017-02-01;2017;GASOLINA COMUM;SUDESTE;3,738
2017-03-01;2017;GASOLINA COMUM;SUDESTE;3,668
2017-04-01;2017;GASOLINA COMUM;SUDESTE;3,604
2017-05-01;2017;GASOLINA COMUM;SUDESTE;3,580
2017-06-01;2017;GASOLINA COMUM;SUDESTE;3,506
2017-07-01;2017;GASOLINA COMUM;SUDESTE;3,526
2017-08-01;2017;GASOLINA COMUM;SUDESTE;3,743
2017-09-01;2017;GASOLINA COMUM;SUDESTE;3,821
2017-10-01;2017;GASOLINA COMUM;SUDESTE;3,863
2017-11-01;2017;GASOLINA COMUM;SUDESTE;3,977
2017-12-01;2017;GASOLINA COMUM;SUDESTE;4,077
2018-01-01;2018;GASOLINA COMUM;SUDESTE;4,199
2018-02-01;2018;GASOLINA COMUM;SUDESTE;4,216
2018-03-01;2018;GASOLINA COMUM;SUDESTE;4,210
2018-04-01;2018;GASOLINA COMUM;SUDESTE;4,234
2018-05-01;2018;GASOLINA COMUM;SUDESTE;4,308
2018-06-01;2018;GASOLINA COMUM;SUDESTE;4,567
2018-07-01;2018;GASOLINA COMUM;SUDESTE;4,496
2018-08-01;2018;GASOLINA COMUM;SUDESTE;4,451
2018-09-01;2018;GASOLINA COMUM;SUDESTE;4,626
2018-10-01;2018;GASOLINA COMUM;SUDESTE;4,709
2018-11-01;2018;GASOLINA COMUM;SUDESTE;4,590
2018-12-01;2018;GASOLINA COMUM;SUDESTE;4,377
2019-01-01;2019;GASOLINA COMUM;SUDESTE;4,298
2019-02-01;2019;GASOLINA COMUM;SUDESTE;4,225
2019-03-01;2019;GASOLINA COMUM;SUDESTE;4,315
2019-04-01;2019;GASOLINA COMUM;SUDESTE;4,420
2019-05-01;2019;GASOLINA COMUM;SUDESTE;4,531
2019-06-01;2019;GASOLINA COMUM;SUDESTE;4,450
2019-07-01;2019;GASOLINA COMUM;SUDESTE;4,355
2019-08-01;2019;GASOLINA COMUM;SUDESTE;4,329
2019-09-01;2019;GASOLINA COMUM;SUDESTE;4,330
2019-10-01;2019;GASOLINA COMUM;SUDESTE;4,389
2019-11-01;2019;GASOLINA COMUM;SUDESTE;4,419
2019-12-01;2019;GASOLINA COMUM;SUDESTE;4,542
2020-01-01;2020;GASOLINA COMUM;SUDESTE;4,600
2020-02-01;2020;GASOLINA COMUM;SUDESTE;4,571
2020-03-01;2020;GASOLINA COMUM;SUDESTE;4,480
2020-04-01;2020;GASOLINA COMUM;SUDESTE;4,092
2020-05-01;2020;GASOLINA COMUM;SUDESTE;3,863
2020-06-01;2020;GASOLINA COMUM;SUDESTE;3,975
2020-07-01;2020;GASOLINA COMUM;SUDESTE;4,116
2020-08-01;2020;GASOLINA COMUM;SUDESTE;4,207
2020-10-01;2020;GASOLINA COMUM;SUDESTE;4,352
2020-11-01;2020;GASOLINA COMUM;SUDESTE;4,371
2020-12-01;2020;GASOLINA COMUM;SUDESTE;4,425
2021-01-01;2021;GASOLINA COMUM;SUDESTE;4,547
2021-02-01;2021;GASOLINA COMUM;SUDESTE;4,870
2021-03-01;2021;GASOLINA COMUM;SUDESTE;5,469
2021-04-01;2021;GASOLINA COMUM;SUDESTE;5,492
2021-05-01;2021;GASOLINA COMUM;SUDESTE;5,608
2021-06-01;2021;GASOLINA COMUM;SUDESTE;5,667
2021-07-01;2021;GASOLINA COMUM;SUDESTE;5,749
2021-08-01;2021;GASOLINA COMUM;SUDESTE;5,881
2021-09-01;2021;GASOLINA COMUM;SUDESTE;6,041
2021-10-01;2021;GASOLINA COMUM;SUDESTE;6,295
2021-11-01;2021;GASOLINA COMUM;SUDESTE;6,691
2021-12-01;2021;GASOLINA COMUM;SUDESTE;6,638
2022-01-01;2022;GASOLINA COMUM;SUDESTE;6,645
2022-02-01;2022;GASOLINA COMUM;SUDESTE;6,621
2022-03-01;2022;GASOLINA COMUM;SUDESTE;6,970
2022-04-01;2022;GASOLINA COMUM;SUDESTE;7,244
2022-05-01;2022;GASOLINA COMUM;SUDESTE;7,240
2022-06-01;2022;GASOLINA COMUM;SUDESTE;7,160
2022-07-01;2022;GASOLINA COMUM;SUDESTE;5,930
2022-08-01;2022;GASOLINA COMUM;SUDESTE;5,340
2022-09-01;2022;GASOLINA COMUM;SUDESTE;4,930
2022-10-01;2022;GASOLINA COMUM;SUDESTE;4,830
2022-11-01;2022;GASOLINA COMUM;SUDESTE;4,940
2022-12-01;2022;GASOLINA COMUM;SUDESTE;4,900
2023-01-01;2023;GASOLINA COMUM;SUDESTE;4,980
2023-02-01;2023;GASOLINA COMUM;SUDESTE;5,010
2023-03-01;2023;GASOLINA COMUM;SUDESTE;5,390
2023-04-01;2023;GASOLINA COMUM;SUDESTE;5,370
2023-05-01;2023;GASOLINA COMUM;SUDESTE;5,290
2023-06-01;2023;GASOLINA COMUM;SUDESTE;5,280
2023-07-01;2023;GASOLINA COMUM;SUDESTE;5,440
2023-08-01;2023;GASOLINA COMUM;SUDESTE;5,510
2023-09-01;2023;GASOLINA COMUM;SUDESTE;5,650
2023-10-01;2023;GASOLINA COMUM;SUDESTE;5,600
2023-11-01;2023;GASOLINA COMUM;SUDESTE;5,540
2023-12-01;2023;GASOLINA COMUM;SUDESTE;5,510
2024-01-01;2024;GASOLINA COMUM;SUDESTE;5,470
2024-02-01;2024;GASOLINA COMUM;SUDESTE;5,620
2024-03-01;2024;GASOLINA COMUM;SUDESTE;5,620
2024-04-01;2024;GASOLINA COMUM;SUDESTE;5,680
2024-05-01;2024;GASOLINA COMUM;SUDESTE;5,730
2024-06-01;2024;GASOLINA COMUM;SUDESTE;5,730
2024-07-01;2024;GASOLINA COMUM;SUDESTE;5,890
2024-08-01;2024;GASOLINA COMUM;SUDESTE;6,020
2024-09-01;2024;GASOLINA COMUM;SUDESTE;6,000
2024-10-01;2024;GASOLINA COMUM;SUDESTE;6,000
2024-11-01;2024;GASOLINA COMUM;SUDESTE;6,010
2024-12-01;2024;GASOLINA COMUM;SUDESTE;6,010
2025-01-01;2025;GASOLINA COMUM;SUDESTE;6,050
2025-02-01;2025;GASOLINA COMUM;SUDESTE;6,220
2025-03-01;2025;GASOLINA COMUM;SUDESTE;6,190
2025-04-01;2025;GASOLINA COMUM;SUDESTE;6,180
2025-05-01;2025;GASOLINA COMUM;SUDESTE;6,140
2025-06-01;2025;GASOLINA COMUM;SUDESTE;6,090
2025-07-01;2025;GASOLINA COMUM;SUDESTE;6,080
2025-08-01;2025;GASOLINA COMUM;SUDESTE;6,060
2025-09-01;2025;GASOLINA COMUM;SUDESTE;6,070
2025-10-01;2025;GASOLINA COMUM;SUDESTE;6,050
2025-11-01;2025;GASOLINA COMUM;SUDESTE;6,040
2025-12-01;2025;GASOLINA COMUM;SUDESTE;6,080
2026-01-01;2026;GASOLINA COMUM;SUDESTE;6,200
2026-02-01;2026;GASOLINA COMUM;SUDESTE;6,180
2026-03-01;2026;GASOLINA COMUM;SUDESTE;6,440
2026-04-01;2026;GASOLINA COMUM;SUDESTE;6,590
2026-05-01;2026;GASOLINA COMUM;SUDESTE;6,450
