Ano;produto;p;q;v
2020;ETANOL HIDRATADO;2,87;800;2296,0
2020;GASOLINA ADITIVADA;4,57;300;1371,0
2020;GASOLINA COMUM;4,28;1200;5136,0
2020;GLP;68,78;130;8941,4
2020;OLEO DIESEL;3,40;1500;5100,0
2020;OLEO DIESEL S10;3,52;2000;7040,0
2021;ETANOL HIDRATADO;4,26;900;3834,0
2021;GASOLINA ADITIVADA;5,91;250;1477,5
2021;GASOLINA COMUM;5,75;1100;6325,0
2021;GLP;88,43;130;11495,9
2021;OLEO DIESEL;4,53;1300;5889,0
2021;OLEO DIESEL S10;4,60;2200;10120,0
2022;ETANOL HIDRATADO;4,34;1000;4340,0
2022;GASOLINA ADITIVADA;6,26;200;1252,0
2022;GASOLINA COMUM;6,06;1000;6060,0
2022;GLP;107,03;130;13913,9
2022;OLEO DIESEL;6,52;1000;6520,0
2022;OLEO DIESEL S10;6,63;2500;16575,0
2023;ETANOL HIDRATADO;3,67;1100;4037,0
2023;GASOLINA ADITIVADA;5,63;150;844,5
2023;GASOLINA COMUM;5,38;900;4842,0
2023;GLP;101,67;130;13217,1
2023;OLEO DIESEL;5,70;800;4560,0
2023;OLEO DIESEL S10;5,82;2800;16296,0
